video_id,avg_red,avg_green,avg_blue,brightness,contrast,thumbnail_text,text_word_count,text_sentiment
pRTZb9o5PpU,38.55857638888889,31.229375,43.55348958333333,37.78048032407408,60.961709101871,,0,0.0
NLnTnJCYTmw,41.670572916666664,34.47277777777778,35.70298611111111,37.28211226851852,60.84506014773027,,0,0.0
nEoWFhinqTo,47.90248263888889,46.145885416666665,45.02685763888889,46.358408564814816,70.12021026102721,,0,0.0
x25yeOo0LqA,31.51732638888889,33.47020833333333,42.67458333333333,35.887372685185184,60.44003351038205,"-WILDELOWER
MT ug ti",4,0.0
YMhOEQ4B4xg,34.63421875,27.440399305555555,27.188836805555557,29.754484953703702,56.442293079361036,,0,0.0
ncKDANZt1uk,33.20368055555556,29.013993055555556,33.86267361111111,32.02678240740741,58.50651406292505,"1) et
ft i : tout
| t """,9,0.0
ocZQNBD3p_s,34.29927083333333,34.00175347222222,32.42048611111111,33.57383680555556,57.29168272303806,"Peer oY WE'KNOW

Mi

we m
i Ht",8,0.0
90tozETTfhk,44.04265625,29.54355902777778,37.529079861111114,37.03843171296296,62.05745124996939,tf,1,0.0
8Q_YZgqEL_E,49.465121527777775,25.20795138888889,24.27324652777778,32.98210648148148,57.391845882524784,,0,0.0
jfiiEwN7FTY,31.187291666666667,33.52102430555556,43.098819444444445,35.935711805555556,58.837412749192126,,0,0.0
MG2y5E80qf0,46.39342013888889,45.500729166666666,47.50383680555556,46.46599537037037,67.90836384954507,Pats,1,0.0
5XnZ5STcgDM,41.48602430555555,37.31871527777778,42.74319444444444,40.51597800925926,62.193497797714606,,0,0.0
oMytx3KGCyg,36.31875,31.618628472222223,30.154427083333335,32.69726851851852,58.48673715548307,wi,1,0.0
Vq8sHu4DijE,35.76229166666667,46.13503472222222,48.991284722222225,43.62953703703704,65.65342851804888,,0,0.0
ubp9Bh1rcEE,49.495190972222225,54.9875,65.83831597222222,56.77366898148148,78.44683636311389,ne Mi,2,0.0
V_I72aYPnjA,40.04595486111111,34.68302083333333,44.73810763888889,39.822361111111114,67.55102757449067,,0,0.0
gyknWnVZsuQ,38.193142361111114,39.145,48.771319444444444,42.03648726851852,67.20959903350155,Ted,1,0.0
urqgZtPeyC4,39.67949652777778,24.552413194444444,24.8628125,29.69824074074074,55.248362588082784,"Als @
POT nae NCCC",5,0.0
lt_DE815yYs,34.849826388888886,37.376302083333336,33.772135416666664,35.332754629629626,62.183606783437725,"erect
y",2,0.0
yWgKDTwigEw,45.71201388888889,44.33861111111111,41.164600694444445,43.73840856481481,67.36049611470499,,0,0.0
BxVBWju2J64,49.46892361111111,33.74251736111111,40.774409722222224,41.32861689814815,63.73699579100061,,0,0.0
tTYf5PbcXYQ,43.614704861111115,41.45319444444444,43.162847222222226,42.74358217592592,71.50901334435282,Py rn,2,0.0
WQzPUkFevIQ,43.70142361111111,35.05262152777778,36.92451388888889,38.55951967592593,62.70920827371038,"STM Ty

gs See

i",5,0.0
xYK4kT8wHP0,37.474756944444444,43.00171875,58.879583333333336,46.452019675925925,65.28045914388662,,0,0.0
jr193VGlI7Q,50.84852430555556,45.07680555555555,41.90368055555555,45.94300347222222,69.35304714564863,,0,0.0
yxrIaPfMGEQ,44.16690972222222,44.97100694444445,50.459392361111114,46.53243634259259,69.09011544389216,,0,0.0
0zSW9LUka1U,33.59847222222222,27.44578125,31.65652777777778,30.900260416666665,55.70962892141549,Death B,2,0.0
